torch.Size([1000000, 3]) torch.Size([1000000, 1]) torch.Size([1000000, 1])
It: 22800, Loss: 8.275e-03, lamd1: 0.939, lamd2: 0.01349, Time: 42.08
It: 22900, Loss: 8.091e-03, lamd1: 0.941, lamd2: 0.01351, Time: 42.17
It: 23000, Loss: 7.878e-03, lamd1: 0.942, lamd2: 0.01337, Time: 42.07
It: 23100, Loss: 7.787e-03, lamd1: 0.943, lamd2: 0.01356, Time: 42.42
It: 23200, Loss: 7.913e-03, lamd1: 0.945, lamd2: 0.01345, Time: 42.44
It: 23300, Loss: 7.306e-03, lamd1: 0.945, lamd2: 0.01353, Time: 42.28
It: 23400, Loss: 7.101e-03, lamd1: 0.947, lamd2: 0.01352, Time: 42.26
It: 23500, Loss: 7.014e-03, lamd1: 0.947, lamd2: 0.01349, Time: 41.97
It: 23600, Loss: 6.840e-03, lamd1: 0.949, lamd2: 0.01354, Time: 41.54
It: 23700, Loss: 6.720e-03, lamd1: 0.950, lamd2: 0.01360, Time: 42.36
It: 23800, Loss: 6.827e-03, lamd1: 0.952, lamd2: 0.01347, Time: 42.13
It: 23900, Loss: 6.256e-03, lamd1: 0.954, lamd2: 0.01351, Time: 41.69
It: 24000, Loss: 6.089e-03, lamd1: 0.955, lamd2: 0.01352, Time: 40.99
It: 24100, Loss: 5.931e-03, lamd1: 0.957, lamd2: 0.01344, Time: 42.22
It: 24200, Loss: 5.925e-03, lamd1: 0.958, lamd2: 0.01338, Time: 42.11
It: 24300, Loss: 6.382e-03, lamd1: 0.959, lamd2: 0.01328, Time: 42.19
It: 24400, Loss: 5.615e-03, lamd1: 0.959, lamd2: 0.01314, Time: 42.48
It: 24500, Loss: 5.602e-03, lamd1: 0.959, lamd2: 0.01300, Time: 42.40
It: 24600, Loss: 5.270e-03, lamd1: 0.961, lamd2: 0.01310, Time: 42.38
It: 24700, Loss: 5.643e-03, lamd1: 0.961, lamd2: 0.01315, Time: 42.33
It: 24800, Loss: 5.264e-03, lamd1: 0.961, lamd2: 0.01290, Time: 42.30
It: 24900, Loss: 5.343e-03, lamd1: 0.962, lamd2: 0.01274, Time: 42.39
It: 25000, Loss: 5.084e-03, lamd1: 0.964, lamd2: 0.01286, Time: 42.49
It: 25100, Loss: 5.135e-03, lamd1: 0.963, lamd2: 0.01286, Time: 42.31
It: 25200, Loss: 4.894e-03, lamd1: 0.965, lamd2: 0.01270, Time: 42.40
It: 25300, Loss: 4.877e-03, lamd1: 0.966, lamd2: 0.01278, Time: 42.28
It: 25400, Loss: 4.601e-03, lamd1: 0.967, lamd2: 0.01266, Time: 42.13
It: 25500, Loss: 4.917e-03, lamd1: 0.967, lamd2: 0.01270, Time: 42.37
It: 25600, Loss: 4.347e-03, lamd1: 0.966, lamd2: 0.01268, Time: 42.59
It: 25700, Loss: 4.250e-03, lamd1: 0.969, lamd2: 0.01273, Time: 42.31
It: 25800, Loss: 4.347e-03, lamd1: 0.969, lamd2: 0.01267, Time: 42.35
It: 25900, Loss: 5.381e-03, lamd1: 0.968, lamd2: 0.01278, Time: 42.27
